,1 1 -0.0007 -0.0004 100.0 518.67 641.82 1589.70 1400.60 14.62 21.61 554.36 2388.06 9046.19 1.30 47.47 521.66 2388.02 8138.62 8.4195 0.03 392 2388 100.00 39.06 23.4190  
0,1 2 0.0019 -0.0003 100.0 518.67 642.15 1591.82 1403.14 14.62 21.61 553.75 2388.04 9044.07 1.30 47.49 522.28 2388.07 8131.49 8.4318 0.03 392 2388 100.00 39.00 23.4236  
1,1 3 -0.0043 0.0003 100.0 518.67 642.35 1587.99 1404.20 14.62 21.61 554.26 2388.08 9052.94 1.30 47.27 522.42 2388.03 8133.23 8.4178 0.03 390 2388 100.00 38.95 23.3442  
2,1 4 0.0007 0.0000 100.0 518.67 642.35 1582.79 1401.87 14.62 21.61 554.45 2388.11 9049.48 1.30 47.13 522.86 2388.08 8133.83 8.3682 0.03 392 2388 100.00 38.88 23.3739  
3,1 5 -0.0019 -0.0002 100.0 518.67 642.37 1582.85 1406.22 14.62 21.61 554.00 2388.06 9055.15 1.30 47.28 522.19 2388.04 8133.80 8.4294 0.03 393 2388 100.00 38.90 23.4044  
4,1 6 -0.0043 -0.0001 100.0 518.67 642.10 1584.47 1398.37 14.62 21.61 554.67 2388.02 9049.68 1.30 47.16 521.68 2388.03 8132.85 8.4108 0.03 391 2388 100.00 38.98 23.3669  
5,1 7 0.0010 0.0001 100.0 518.67 642.48 1592.32 1397.77 14.62 21.61 554.34 2388.02 9059.13 1.30 47.36 522.32 2388.03 8132.32 8.3974 0.03 392 2388 100.00 39.10 23.3774  
6,1 8 -0.0034 0.0003 100.0 518.67 642.56 1582.96 1400.97 14.62 21.61 553.85 2388.00 9040.80 1.30 47.24 522.47 2388.03 8131.07 8.4076 0.03 391 2388 100.00 38.97 23.3106  
7,1 9 0.0008 0.0001 100.0 518.67 642.12 1590.98 1394.80 14.62 21.61 553.69 2388.05 9046.46 1.30 47.29 521.79 2388.05 8125.69 8.3728 0.03 392 2388 100.00 39.05 23.4066  
8,1 10 -0.0033 0.0001 100.0 518.67 641.71 1591.24 1400.46 14.62 21.61 553.59 2388.05 9051.70 1.30 47.03 521.79 2388.06 8129.38 8.4286 0.03 393 2388 100.00 38.95 23.4694  
9,1 11 0.0018 -0.0003 100.0 518.67 642.28 1581.75 1400.64 14.62 21.61 554.54 2388.05 9049.61 1.30 47.15 521.40 2388.01 8140.58 8.4340 0.03 392 2388 100.00 38.94 23.4787  
10,1 12 0.0016 0.0002 100.0 518.67 642.06 1583.41 1400.15 14.62 21.61 554.52 2388.09 9049.37 1.30 47.18 521.80 2388.02 8134.25 8.3938 0.03 391 2388 100.00 39.06 23.3660  
11,1 13 -0.0019 0.0004 100.0 518.67 643.07 1582.19 1400.83 14.62 21.61 553.44 2388.12 9046.82 1.30 47.38 521.85 2388.08 8128.10 8.4152 0.03 393 2388 100.00 38.93 23.2757  
12,1 14 0.0009 -0.0000 100.0 518.67 642.35 1592.95 1399.16 14.62 21.61 554.48 2388.09 9047.37 1.30 47.44 521.67 2388.00 8134.43 8.3964 0.03 393 2388 100.00 39.18 23.3826  
13,1 15 -0.0018 -0.0003 100.0 518.67 642.43 1583.82 1402.13 14.62 21.61 553.64 2388.11 9052.22 1.30 47.30 522.50 2388.08 8127.56 8.4199 0.03 391 2388 100.00 38.99 23.3500  
14,1 16 0.0006 0.0005 100.0 518.67 642.13 1587.98 1404.50 14.62 21.61 553.94 2388.05 9049.34 1.30 47.24 521.49 2388.07 8136.11 8.3936 0.03 392 2388 100.00 38.97 23.4550  
15,1 17 0.0002 0.0002 100.0 518.67 642.58 1584.96 1399.95 14.62 21.61 553.80 2388.06 9054.92 1.30 47.12 521.89 2388.04 8137.27 8.4542 0.03 392 2388 100.00 38.81 23.3319  
16,1 18 -0.0031 -0.0001 100.0 518.67 642.62 1591.04 1396.12 14.62 21.61 554.20 2388.05 9049.55 1.30 47.21 521.76 2388.07 8132.73 8.4028 0.03 392 2388 100.00 38.89 23.3987  
17,1 19 0.0032 -0.0003 100.0 518.67 641.79 1587.56 1400.35 14.62 21.61 554.18 2388.04 9053.99 1.30 47.40 521.89 2388.03 8129.13 8.4321 0.03 391 2388 100.00 38.80 23.3464  
18,1 20 -0.0037 0.0001 100.0 518.67 643.04 1581.11 1405.23 14.62 21.61 554.81 2388.05 9045.90 1.30 47.22 522.07 2388.02 8129.71 8.4210 0.03 392 2388 100.00 39.03 23.4220  
19,1 21 -0.0012 0.0001 100.0 518.67 642.37 1586.07 1398.13 14.62 21.61 554.08 2388.11 9048.15 1.30 47.15 522.42 2388.08 8134.02 8.4049 0.03 392 2388 100.00 39.09 23.3101  
20,1 22 0.0002 0.0000 100.0 518.67 642.77 1592.93 1400.57 14.62 21.61 553.63 2388.04 9061.21 1.30 47.24 522.00 2388.03 8130.41 8.4034 0.03 392 2388 100.00 38.92 23.3792  
21,1 23 0.0034 -0.0003 100.0 518.67 642.14 1588.19 1394.75 14.62 21.61 553.98 2388.05 9046.28 1.30 47.25 521.52 2388.05 8127.90 8.4240 0.03 392 2388 100.00 38.94 23.4562  
22,1 24 -0.0010 0.0003 100.0 518.67 642.38 1590.83 1398.81 14.62 21.61 553.49 2388.12 9043.76 1.30 47.44 522.13 2388.03 8133.88 8.3891 0.03 392 2388 100.00 39.00 23.3696  
23,1 25 0.0023 -0.0004 100.0 518.67 642.77 1594.10 1399.39 14.62 21.61 554.00 2388.02 9054.16 1.30 47.36 522.56 2388.02 8136.61 8.3917 0.03 393 2388 100.00 38.95 23.4288  
24,1 26 0.0000 0.0002 100.0 518.67 642.16 1589.08 1396.07 14.62 21.61 554.11 2388.07 9047.11 1.30 47.26 522.28 2388.06 8131.15 8.4260 0.03 394 2388 100.00 38.86 23.4149  
25,1 27 -0.0012 -0.0004 100.0 518.67 642.44 1590.47 1401.84 14.62 21.61 554.07 2388.02 9047.96 1.30 47.37 522.00 2388.13 8134.60 8.4046 0.03 393 2388 100.00 38.99 23.4472  
26,1 28 -0.0024 0.0005 100.0 518.67 642.35 1582.84 1399.13 14.62 21.61 554.68 2388.12 9049.84 1.30 47.41 522.57 2388.08 8127.30 8.4323 0.03 390 2388 100.00 39.01 23.2841  
27,1 29 0.0012 -0.0001 100.0 518.67 641.91 1584.83 1400.99 14.62 21.61 554.25 2388.05 9050.47 1.30 47.24 522.41 2388.06 8133.06 8.4189 0.03 393 2388 100.00 38.93 23.3597  
